ensembl_gene_id	entrezgene_id	gene_biotype	external_gene_name	subsystem
ENSG00000175899	2	protein_coding	A2M	NA
ENSG00000094914	8086	protein_coding	AAAS	NA
ENSG00000081760	65985	protein_coding	AACS	Butanoate metabolism
ENSG00000081760	65985	protein_coding	AACS	Cholesterol metabolism
ENSG00000109576	51166	protein_coding	AADAT	Alanine, aspartate and glutamate metabolism
ENSG00000109576	51166	protein_coding	AADAT	Lysine metabolism
ENSG00000109576	51166	protein_coding	AADAT	Phenylalanine, tyrosine and tryptophan biosynthesis
ENSG00000109576	51166	protein_coding	AADAT	Tryptophan metabolism
ENSG00000129673	15	protein_coding	AANAT	Serotonin and melatonin biosynthesis
ENSG00000149313	60496	protein_coding	AASDHPPT	Pantothenate and CoA biosynthesis
ENSG00000008311	10157	protein_coding	AASS	Lysine metabolism
ENSG00000183044	18	protein_coding	ABAT	Alanine, aspartate and glutamate metabolism
ENSG00000183044	18	protein_coding	ABAT	beta-Alanine metabolism
ENSG00000183044	18	protein_coding	ABAT	Valine, leucine, and isoleucine metabolism
ENSG00000165029	19	protein_coding	ABCA1	Transport, extracellular
ENSG00000165029	19	protein_coding	ABCA1	Transport, Golgi apparatus
ENSG00000165029	19	protein_coding	ABCA1	Transport, nuclear
ENSG00000085563	5243	protein_coding	ABCB1	NA
ENSG00000276582	8647	protein_coding	ABCB11	NA
ENSG00000073734	8647	protein_coding	ABCB11	Bile acid recycling
ENSG00000073734	8647	protein_coding	ABCB11	Transport, extracellular
ENSG00000005471	5244	protein_coding	ABCB4	Transport, extracellular
ENSG00000005471	5244	protein_coding	ABCB4	Transport, nuclear
ENSG00000108846	8714	protein_coding	ABCC3	Bile acid recycling
ENSG00000108846	8714	protein_coding	ABCC3	Transport, extracellular
ENSG00000114770	10057	protein_coding	ABCC5	Transport, extracellular
ENSG00000006071	6833	protein_coding	ABCC8	NA
ENSG00000101986	215	protein_coding	ABCD1	Bile acid biosynthesis
ENSG00000101986	215	protein_coding	ABCD1	Transport, peroxisomal
ENSG00000160179	9619	protein_coding	ABCG1	Transport, extracellular
ENSG00000118777	9429	protein_coding	ABCG2	NA
ENSG00000138075	64240	protein_coding	ABCG5	Transport, extracellular
