# RLEdb
# Citation : Zhao, M., Chen, X., Gao, G. et al. RLEdb: a database of rate-limiting enzymes and their regulation in human, rat, mouse, yeast and E. coli. Cell Res 19, 793–795 (2009). https://doi.org/10.1038/cr.2009.61

A2M	A2MD|CPAMD5|FWP007|S863-7
NAT1	AAC1|MNAT|NAT-1|NATI
NAT2	AAC2|NAT-2|PNAT
AANAT	DSPS|SNAT
ABAT	GABA-AT|GABAT|NPD009
ABCA1	ABC-1|ABC1|CERP|HDLDT1|TGD
ACAA1	ACAA|PTHIO|THIO
ACACA	ACAC|ACACAD|ACC|ACC1|ACCA
ACACB	ACC2|ACCB|HACC275
ACADL	ACAD4|LCAD
ACADM	ACAD1|MCAD|MCADH
ACADS	ACAD3|SCAD
ACADSB	2-MEBCAD|ACAD7|SBCAD
ACADVL	ACAD6|LCACD|VLCAD
ACAT1	ACAT|MAT|T2|THIL
ACAT2	-
ACHE	ACEE|ARACHE|N-ACHE|YT
ACLY	ACL|ATPCL|CLATP
ACO1	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1
ACO2	ACONM|ICRD
ACOX1	ACOX|PALMCOX|SCOX
ACP1	HAAP
ACP2	LAP
ACP5	SPENCDI|TRAP
ACPP	5'-NT|ACP-3|ACP3
ACTB	BRWS1|PS1TP5BP1
ACY1	ACY-1|ACY1D|HEL-S-5
ACYP1	ACYPE
ADA	-
ADCY1	AC1|DFNB44
PLIN2	ADFP|ADRP
ADH1A	ADH1
ADH1B	ADH2|HEL-S-117
ADH1C	ADH3
ADH4	ADH-2|HEL-S-4
ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR
ADH6	ADH-5
ADH7	ADH4
ADK	AK
ADRA2A	ADRA2|ADRA2R|ADRAR|ALPHA2AAR|ZNF32
ADSL	AMPS|ASASE|ASL
ADSS	ADEH|ADSS 2
ACAN	AGC1|AGCAN|CSPG1|CSPGCP|MSK16|SEDK
AGL	GDE
AGT	ANHU|SERPINA8
AGXT	AGT|AGT1|AGXT1|PH1|SPAT|SPT|TLH6
AHCY	SAHH|adoHcyase
AK1	HTL-S-58j
AK2	ADK2|AK 2
AK4	AK 4|AK3|AK3L1|AK3L2
AKT1	AKT|CWS6|PKB|PKB-ALPHA|PRKBA|RAC|RAC-ALPHA
ALAD	ALADH|PBGS
ALAS1	ALAS|ALAS3|ALASH|MIG4
ALAS2	ALAS-E|ALASE|ANH1|ASB|XLDPP|XLEPP|XLSA
ALB	ANALBA|FDAH|PRO0883|PRO0903|PRO1341
ABCD1	ABC42|ALD|ALDP|AMN
ALDH1A1	ALDC|ALDH-E1|ALDH1|ALDH11|HEL-9|HEL-S-53e|HEL12|PUMB1|RALDH1
ALDH2	ALDH-E2|ALDHI|ALDM
ALDH3A1	ALDH3|ALDHIII
ALDOA	ALDA|GSD12|HEL-S-87p
ALDOB	ALDB|ALDO2
ALDOC	ALDC
AKR1B1	ADR|ALDR1|ALR2|AR
ALOX12	12-LOX|12S-LOX|LOG12
ALOX5	5-LO|5-LOX|5LPG|LOG5
ALOX12B	12R-LOX|ARCI2
ALOX15	12-LOX|15-LOX-1|15LOX-1
ALOX15B	15-LOX-2
AMD1	ADOMETDC|AMD|SAMDC
AMPD1	MAD|MADA|MMDD
AMPD2	PCH9|SPG63
AMPD3	-
AMT	GCE|GCST|GCVT|NKH
AMY1A	AMY1
AMY1B	AMY1
AMY1C	AMY1
AMY2A	AMY2|AMY2B|PA
AMY2B	AMY2|AMY3|HXA
ANPEP	APN|CD13|GP150|LAP1|P150|PEPN
SLC25A4	1|AAC1|ANT|ANT 1|ANT1|MTDPS12|PEO2|PEO3|T1
AOC2	DAO2|RAO
AOX1	AO|AOH1
NUDT2	APAH1
APOA1	-
APOA2	Apo-AII|ApoA-II|apoAII
APOB	FLDB|LDLCQ4
APOC2	APO-CII|APOC-II
APOC3	APOCIII|HALP2
APOE	AD2|APO-E|LDLCQ5|LPG
APRT	AMP|APRTD
ARF1	-
ARNTL	BMAL1|BMAL1c|JAP3|MOP3|PASD3|TIC|bHLHe5
ARSA	MLD
ARSB	ASB|G4S|MPS6
STS	ARSC|ARSC1|ASC|ES|SSDD|XLI
ARSE	ASE|CDPX|CDPX1|CDPXR
ARSF	ASF
ASAH1	AC|ACDase|ASAH|PHP|PHP32|SMAPME
ASL	ASAL
